Unique_Key|Record_Type|Date_File|CRFN|Recorded_Borough|Doc_type|Document_date|Document_amount|Recorded_date|Modified_date
201500000000001448.91|A|03/04/2015|2015000072444|1|MTGE    |02/06/2015|1448.91|03/03/2015|03/03/2015
201500000001375000.00|A|03/04/2015|2015000072445|1|AGMT    |02/06/2015|1375000.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071248|1|DEED    |12/11/2014|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071337|1|DEED    |12/08/2014|$-|03/03/2015|03/03/2015
201500000000603822.25|A|03/04/2015|2015000071142|1|DEED    |02/05/2015|603822.25|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071143|1|PAT     |02/05/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071591|3|SAT     |02/13/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071158|3|SAT     |02/18/2015|$-|03/03/2015|03/03/2015
201500000000938250.00|A|03/04/2015|2015000071424|1|MTGE    |02/10/2015|938250.00|03/03/2015|03/03/2015
201500000000938250.00|A|03/04/2015|2015000071425|1|MTGE    |02/10/2015|938250.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072368|3|SAT     |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071552|3|DEED    |02/04/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071238|3|DEED    |01/29/2015|$-|03/03/2015|03/03/2015
201400000000100000.00|A|03/04/2015|2015000071567|3|MTGE    |08/09/2014|100000.00|03/03/2015|03/03/2015
201400000000250000.00|A|03/04/2015|2015000071568|3|AGMT    |08/09/2014|250000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072371|3|SAT     |02/18/2015|$-|03/03/2015|03/03/2015
201500000001110000.00|A|03/04/2015|2015000072036|1|DEED    |02/12/2015|1110000.00|03/03/2015|03/03/2015
201500000000605000.00|A|03/04/2015|2015000072037|1|MTGE    |02/12/2015|605000.00|03/03/2015|03/03/2015
201500000000150314.64|A|03/04/2015|2015000070889|3|M&CON   |01/07/2015|150314.64|03/03/2015|03/03/2015
201300000000030000.00|A|03/04/2015|2015000071622|3|MTGE    |02/05/2013|30000.00|03/03/2015|03/03/2015
201300000000100000.00|A|03/04/2015|2015000071623|3|AGMT    |02/05/2013|100000.00|03/03/2015|03/03/2015
201500000001150000.00|A|03/04/2015|2015000072093|4|DEED    |02/17/2015|1150000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071678|3|DEED    |01/12/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071627|3|SAT     |02/17/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072340|3|SAT     |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071718|3|SAT     |02/11/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072418|1|ASST    |01/22/2015|$-|03/03/2015|03/03/2015
201500000000149086.41|A|03/04/2015|2015000072419|1|MTGE    |01/30/2015|149086.41|03/03/2015|03/03/2015
201500000000404000.00|A|03/04/2015|2015000072420|1|AGMT    |01/30/2015|404000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071506|1|DEED    |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071566|3|DEED    |01/30/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071625|3|SAT     |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071626|3|SAT     |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071628|3|SAT     |02/18/2015|$-|03/03/2015|03/03/2015
201500000000100000.00|A|03/04/2015|2015000071522|3|MTGE    |02/12/2015|100000.00|03/03/2015|03/03/2015
201500000000410000.00|A|03/04/2015|2015000071342|3|DEED    |02/18/2015|410000.00|03/03/2015|03/03/2015
201500000000307500.00|A|03/04/2015|2015000071343|3|MTGE    |02/18/2015|307500.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071240|3|DEED    |02/17/2015|$-|03/03/2015|03/03/2015
201500000000007825.37|A|03/04/2015|2015000072429|1|MTGE    |01/30/2015|7825.37|03/03/2015|03/03/2015
201500000000264000.00|A|03/04/2015|2015000072430|1|AGMT    |01/30/2015|264000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071052|1|DEED    |02/04/2015|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071110|1|DEED    |12/30/2014|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071523|3|ASST    |02/17/2015|$-|03/03/2015|03/03/2015
201200000000000000.00|A|03/04/2015|2015000071524|3|PAT     |04/02/2012|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071717|3|SAT     |02/10/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071589|4|TL&R    |02/10/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071590|4|PREL    |02/10/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071283|3|DEED, LE|01/15/2015|$-|03/03/2015|03/03/2015
201500000003060000.00|A|03/04/2015|2015000071544|1|DEED    |02/10/2015|3060000.00|03/03/2015|03/03/2015
201500000000804392.41|A|03/04/2015|2015000071545|1|MTGE    |02/10/2015|804392.41|03/03/2015|03/03/2015
201500000002150000.00|A|03/04/2015|2015000071546|1|AGMT    |02/10/2015|2150000.00|03/03/2015|03/03/2015
201500000002150000.00|A|03/04/2015|2015000071547|1|AL&R    |02/10/2015|2150000.00|03/03/2015|03/03/2015
201500000000588359.00|A|03/04/2015|2015000071472|3|DEED    |02/09/2015|588359.00|03/03/2015|03/03/2015
201500000000592000.00|A|03/04/2015|2015000071473|3|MTGE    |02/09/2015|592000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071474|3|PAT     |02/09/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071719|3|SAT     |02/12/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071742|3|SAT     |02/12/2015|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000072307|4|PAT     |07/18/2014|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000072308|4|ASST    |12/31/2014|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071680|3|SAT     |02/12/2015|$-|03/03/2015|03/03/2015
201500000000565000.00|A|03/04/2015|2015000071762|1|DEED    |02/18/2015|565000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072389|3|TOLCC   |01/29/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071284|3|DEED, LE|01/08/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071763|3|ASST    |02/12/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072370|3|SAT     |02/19/2015|$-|03/03/2015|03/03/2015
201500000000505000.00|A|03/04/2015|2015000071713|1|DEED    |02/18/2015|505000.00|03/03/2015|03/03/2015
201500000000220000.00|A|03/04/2015|2015000071682|1|RPTT&RET|02/20/2015|220000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071598|3|SAT     |02/19/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071518|3|SAT     |02/19/2015|$-|03/03/2015|03/03/2015
201500000000615000.00|A|03/04/2015|2015000071649|1|DEED    |02/18/2015|615000.00|03/03/2015|03/03/2015
201500000000350000.00|A|03/04/2015|2015000071650|1|MTGE    |02/18/2015|350000.00|03/03/2015|03/03/2015
201500000000300000.00|A|03/04/2015|2015000072199|1|DEED    |02/18/2015|300000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071004|4|CORRD   |02/02/2015|$-|03/03/2015|03/03/2015
201500000000780000.00|A|03/04/2015|2015000071426|1|MTGE    |02/10/2015|780000.00|03/03/2015|03/03/2015
201500000000780000.00|A|03/04/2015|2015000071427|1|MTGE    |02/10/2015|780000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071481|3|ASST    |02/12/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071482|3|SAT     |02/19/2015|$-|03/03/2015|03/03/2015
201500000000880000.00|A|03/04/2015|2015000071285|1|DEED    |02/06/2015|880000.00|03/03/2015|03/03/2015
201500000000440000.00|A|03/04/2015|2015000071286|1|MTGE    |02/06/2015|440000.00|03/03/2015|03/03/2015
201500000000221067.86|A|03/04/2015|2015000071152|4|AMTX    |02/12/2015|221067.86|03/03/2015|03/03/2015
201500000000218403.93|A|03/04/2015|2015000071153|4|AMTX    |02/12/2015|218403.93|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072268|1|DEED    |02/18/2015|$-|03/03/2015|03/03/2015
201500000000125000.00|A|03/04/2015|2015000072369|1|RPTT&RET|02/11/2015|125000.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000072156|4|ASST    |10/31/2014|$-|03/03/2015|03/03/2015
201400000000533850.00|A|03/04/2015|2015000072157|4|AGMT    |12/15/2014|533850.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071679|3|AALR    |09/04/2014|$-|03/03/2015|03/03/2015
201500000000157000.00|A|03/04/2015|2015000071599|1|RPTT&RET|02/18/2015|157000.00|03/03/2015|03/03/2015
201500000001150000.00|A|03/04/2015|2015000071948|1|DEED    |02/17/2015|1150000.00|03/03/2015|03/03/2015
201500000000575000.00|A|03/04/2015|2015000071949|1|MTGE    |02/17/2015|575000.00|03/03/2015|03/03/2015
201500000000465500.00|A|03/04/2015|2015000072327|1|MTGE    |02/19/2015|465500.00|03/03/2015|03/03/2015
201500000000465500.00|A|03/04/2015|2015000072328|1|AL&R    |02/19/2015|465500.00|03/03/2015|03/03/2015
201500000000060867.91|A|03/04/2015|2015000072075|1|MTGE    |02/11/2015|60867.91|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072076|1|SUBM    |01/27/2015|$-|03/03/2015|03/03/2015
201500000000450000.00|A|03/04/2015|2015000072077|1|AGMT    |02/11/2015|450000.00|03/03/2015|03/03/2015
201500000002900000.00|A|03/04/2015|2015000071561|1|DEED    |02/18/2015|2900000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071418|1|REL     |02/17/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071419|1|REL     |02/17/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071420|1|PREL    |02/17/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072395|3|SAT     |02/19/2015|$-|03/03/2015|03/03/2015
201500000000670000.00|A|03/04/2015|2015000071843|1|DEED    |02/12/2015|670000.00|03/03/2015|03/03/2015
201500000000502500.00|A|03/04/2015|2015000071844|1|MTGE    |02/12/2015|502500.00|03/03/2015|03/03/2015
201500000000502500.00|A|03/04/2015|2015000071845|1|AL&R    |02/12/2015|502500.00|03/03/2015|03/03/2015
201500000000006121.30|A|03/04/2015|2015000071534|1|MTGE    |02/12/2015|6121.30|03/03/2015|03/03/2015
201500000001070000.00|A|03/04/2015|2015000071535|1|AGMT    |02/12/2015|1070000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071536|1|SUBM    |02/03/2015|$-|03/03/2015|03/03/2015
201500000000636406.25|A|03/04/2015|2015000071500|4|DEED    |02/19/2015|636406.25|03/03/2015|03/03/2015
201500000000468750.00|A|03/04/2015|2015000071501|4|MTGE    |02/19/2015|468750.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071502|4|PAT     |02/19/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072413|3|CERT    |02/10/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072414|3|ZONE    |02/10/2015|$-|03/03/2015|03/03/2015
201500000000415000.00|A|03/04/2015|2015000072201|1|DEED    |02/17/2015|415000.00|03/03/2015|03/03/2015
201500000000332000.00|A|03/04/2015|2015000072202|1|MTGE    |02/17/2015|332000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072069|1|DEED    |01/30/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072070|1|DEED    |01/30/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072071|1|DEED    |01/30/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072072|1|PAT     |01/30/2015|$-|03/03/2015|03/03/2015
201500000000591747.33|A|03/04/2015|2015000072073|1|AGMT    |01/30/2015|591747.33|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072074|1|AGMT    |01/30/2015|$-|03/03/2015|03/03/2015
201500000001350000.00|A|03/04/2015|2015000071226|1|DEED    |02/19/2015|1350000.00|03/03/2015|03/03/2015
201500000000929500.00|A|03/04/2015|2015000071227|1|MTGE    |02/19/2015|929500.00|03/03/2015|03/03/2015
201500000000929500.00|A|03/04/2015|2015000071228|1|AL&R    |02/19/2015|929500.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071094|1|TL&R    |01/23/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071095|1|TL&R    |01/23/2015|$-|03/03/2015|03/03/2015
201500000002924980.86|A|03/04/2015|2015000071096|1|MTGE    |02/12/2015|2924980.86|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070917|1|SAT     |01/28/2015|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071630|1|DEED    |10/30/2014|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071651|1|DEED    |10/30/2014|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000071516|1|DEED    |10/30/2014|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070998|1|PAT     |02/05/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070999|1|PAT     |02/04/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071000|1|DEED    |02/05/2015|$-|03/03/2015|03/03/2015
201500000000480000.00|A|03/04/2015|2015000071001|1|MTGE    |02/05/2015|480000.00|03/03/2015|03/03/2015
201500000000773870.00|A|03/04/2015|2015000071498|1|DEED    |02/18/2015|773870.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071499|1|PAT     |02/18/2015|$-|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000070960|1|DEED    |11/22/2014|$-|03/03/2015|03/03/2015
201500000000499000.00|A|03/04/2015|2015000071600|1|MTGE    |02/19/2015|499000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071869|1|DEED    |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071870|1|DEED    |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071871|1|DEED    |02/18/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071872|1|ASST    |01/30/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071873|1|ASST    |01/28/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071874|1|ASST    |01/30/2015|$-|03/03/2015|03/03/2015
201500000001425000.00|A|03/04/2015|2015000071875|1|AGMT    |02/24/2015|1425000.00|03/03/2015|03/03/2015
201500000001425000.00|A|03/04/2015|2015000071876|1|AL&R    |02/24/2015|1425000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072332|4|DEED    |02/10/2015|$-|03/03/2015|03/03/2015
201500000000130000.00|A|03/04/2015|2015000071239|1|MTGE    |02/04/2015|130000.00|03/03/2015|03/03/2015
201500000000938000.00|A|03/04/2015|2015000071477|1|DEED    |02/10/2015|938000.00|03/03/2015|03/03/2015
201500000000488000.00|A|03/04/2015|2015000071478|1|MTGE    |02/10/2015|488000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072391|3|LOCC    |02/24/2015|$-|03/03/2015|03/03/2015
201500000007860262.00|A|03/04/2015|2015000071421|1|RPTT&RET|02/17/2015|7860262.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000072393|3|LOCC    |02/24/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071247|1|PAT     |01/28/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070862|1|ASST    |01/30/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070863|1|ASST    |01/30/2015|$-|03/03/2015|03/03/2015
201500000000048382.00|A|03/04/2015|2015000070864|1|MTGE    |02/11/2015|48382.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071927|1|PAT     |02/15/2015|$-|03/03/2015|03/03/2015
201500000000860000.00|A|03/04/2015|2015000071928|1|DEED    |02/17/2015|860000.00|03/03/2015|03/03/2015
201500000000600000.00|A|03/04/2015|2015000071929|1|MTGE    |02/17/2015|600000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071652|1|TL&R    |02/19/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071279|1|DEED    |02/05/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071280|1|SMIS    |02/05/2015|$-|03/03/2015|03/03/2015
201500000000350000.00|A|03/04/2015|2015000070865|1|DEED    |02/17/2015|350000.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000070866|1|DTL     |08/29/2014|$-|03/03/2015|03/03/2015
201500000000555000.00|A|03/04/2015|2015000070879|1|DEED    |02/13/2015|555000.00|03/03/2015|03/03/2015
201500000000499500.00|A|03/04/2015|2015000070880|1|MTGE    |02/13/2015|499500.00|03/03/2015|03/03/2015
201500000000815000.00|A|03/04/2015|2015000070982|1|RPTT&RET|01/30/2015|815000.00|03/03/2015|03/03/2015
201500000000990000.00|A|03/04/2015|2015000071950|1|DEED    |02/18/2015|990000.00|03/03/2015|03/03/2015
201500000000490000.00|A|03/04/2015|2015000071951|1|MTGE    |02/18/2015|490000.00|03/03/2015|03/03/2015
201500000001500000.00|A|03/04/2015|2015000070912|1|DEED    |02/12/2015|1500000.00|03/03/2015|03/03/2015
201400000000000000.00|A|03/04/2015|2015000070962|1|RTXL    |09/24/2014|$-|03/03/2015|03/03/2015
199300000000000000.00|A|03/04/2015|2015000070963|1|SAT     |07/29/1993|$-|03/03/2015|03/03/2015
201500000002575000.00|A|03/04/2015|2015000070964|1|DEED    |02/18/2015|2575000.00|03/03/2015|03/03/2015
201500000001802500.00|A|03/04/2015|2015000070965|1|MTGE    |02/08/2015|1802500.00|03/03/2015|03/03/2015
201500000000001989.04|A|03/04/2015|2015000070867|1|MTGE    |02/10/2015|1989.04|03/03/2015|03/03/2015
201500000000436000.00|A|03/04/2015|2015000070868|1|AGMT    |02/10/2015|436000.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070869|1|SUBM    |01/28/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070890|1|ASST    |02/03/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000070891|1|ASST    |02/03/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071674|1|ASST    |01/28/2015|$-|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071675|1|ASST    |02/19/2015|$-|03/03/2015|03/03/2015
201500000000007517.27|A|03/04/2015|2015000071676|1|MTGE    |02/13/2015|7517.27|03/03/2015|03/03/2015
201500000000401950.00|A|03/04/2015|2015000071677|1|AGMT    |02/13/2015|401950.00|03/03/2015|03/03/2015
201500000000000000.00|A|03/04/2015|2015000071003|1|SAT     |02/23/2015|$-|03/03/2015|03/03/2015
