Unique_Key|Record_Type|Borough|Block|Lot|Easement|Partial_Lot|Air_Rights|Subterranean_Rights|Property_Type|Street_number|Address|Unit
201400000000000000.00|L|1|2026|20|N|E|N|N|AP|215|WEST 140 STREET|
201400000000000000.00|L|1|2026|22|N|E|N|N|AP|213|WEST 140 STREET|
201400000000000000.00|L|1|2026|23|N|E|N|N|AP|211|WEST 140 STREET|
201400000000000000.00|L|1|2026|24|N|E|N|N|VN|209|WEST 140 STREET|
201400000000000000.00|L|1|2026|25|N|E|N|N|VN|207|WEST 140 STREET|
201400000000000000.00|L|1|2026|26|N|E|N|N|AP|205|WEST 140 STREET|
201400000000000000.00|L|1|2026|27|N|E|N|N|AP|203|WEST 140 STREET|
201400000000000000.00|L|1|2026|29|N|E|N|N|CR|2400|SEVENTH AVENUE|
201400000000000000.00|L|1|2031|18|N|E|N|N|CR|223|WEST 145 STREET|
201400000000000000.00|L|1|2032|43|N|E|N|N|AP|210|WEST 147 STREET|
201400000000000000.00|L|1|2036|61|N|E|N|N|CR|2844|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2036|61|N|E|N|N|CR|33-39|MACOMBS PLACE|
201400000000000000.00|L|1|2045|96|N|E|N|N|AP|2815|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2045|96|N|E|N|N|AP|2817|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2045|97|N|E|N|N|AP|302|WEST 150TH STREET|
201400000000000000.00|L|1|2045|98|N|E|N|N|VN|304-306|WEST 150TH STREET|
201400000000000000.00|L|1|2045|100|N|E|N|N|AP|308-310|WEST 150TH STREET|
201400000000000000.00|L|1|2046|7|N|E|N|N|CR|301|WEST 150 STREET|
201400000000000000.00|L|1|2046|63|N|E|N|N|CR|220|BRADHURST AVENUE|
201400000000000000.00|L|1|2046|63|N|E|N|N|CR|2855|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|1718|69|N|E|N|N|CR|86|WEST 120TH STREET|
201400000000000000.00|L|1|1903|29|N|E|N|N|CR|101|WEST 118 STREET|
201400000000000000.00|L|1|1904|33|N|E|N|N|CR|191|LENOX AVENUE|
201400000000000000.00|L|1|1904|59|N|E|N|N|AP|166|WEST 120TH STREET|
201400000000000000.00|L|1|1906|64|N|E|N|N|CR|2031|SEVENTH AVENUE|
201400000000000000.00|L|1|2026|29|N|E|N|N|CR|2400|SEVENTH AVENUE|
201400000000000000.00|L|1|2046|7|N|E|N|N|CR|301|WEST 150TH STREET|
201400000000000000.00|L|1|2036|61|N|E|N|N|AP|2844|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2036|61|N|E|N|N|AP|33-39|MACOMBS PLACE|
201400000000000000.00|L|1|2045|96|N|E|N|N|AP|2815|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2045|96|N|E|N|N|AP|2817|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2045|97|N|E|N|N|AP|302|WEST 150TH STREET|
201400000000000000.00|L|1|2045|98|N|E|N|N|VN|304-306|WEST 150TH STREET|
201400000000000000.00|L|1|2045|100|N|E|N|N|AP|308-310|WEST 150TH STREET|
201400000000000000.00|L|1|2032|43|N|E|N|N|AP|210|WEST 147 STREET|
201400000000000000.00|L|1|2046|63|N|E|N|N|CR|220|BRADHURST AVENUE|
201400000000000000.00|L|1|2031|18|N|E|N|N|CR|223|WEST 145 STREET|
201400000000000000.00|L|1|2026|20|N|E|N|N|AP|215|WEST 140 STREET|
201400000000000000.00|L|1|2026|22|N|E|N|N|AP|213|WEST 140 STREET|
201400000000000000.00|L|1|2026|23|N|E|N|N|AP|211|WEST 140 STREET|
201400000000000000.00|L|1|2026|24|N|E|N|N|VN|209|WEST 140 STREET|
201400000000000000.00|L|1|2026|25|N|E|N|N|VN|207|WEST 140 STREET|
201400000000000000.00|L|1|2026|26|N|E|N|N|AP|205|WEST 140 STREET|
201400000000000000.00|L|1|2026|27|N|E|N|N|AP|203|WEST 140 STREET|
201400000000000000.00|L|1|2026|29|N|E|N|N|CR|2400|SEVENTH AVENUE|
201400000000000000.00|L|1|1718|69|N|E|N|N|CR|86|WEST 120TH STREET|
201400000000000000.00|L|1|1903|29|N|E|N|N|CR|101|WEST 118 STREET|
201400000000000000.00|L|1|1904|33|N|E|N|N|CR|191|LENOX AVENUE|
201400000000000000.00|L|1|1904|59|N|E|N|N|AP|166|WEST 120TH STREET|
201400000000000000.00|L|1|1906|64|N|E|N|N|CR|2031|SEVENTH AVENUE|
201400000000000000.00|L|1|2026|20|N|E|N|N|AP|215|WEST 140 STREET|
201400000000000000.00|L|1|2026|22|N|E|N|N|AP|213|WEST 140 STREET|
201400000000000000.00|L|1|2026|23|N|E|N|N|AP|211|WEST 140 STREET|
201400000000000000.00|L|1|2026|24|N|E|N|N|VN|209|WEST 140 STREET|
201400000000000000.00|L|1|2026|25|N|E|N|N|VN|207|WEST 140 STREET|
201400000000000000.00|L|1|2026|26|N|E|N|N|AP|205|WEST 140 STREET|
201400000000000000.00|L|1|2026|27|N|P|N|N|AP|203|WEST 140 STREET|
201400000000000000.00|L|1|2026|29|N|E|N|N|CR|2400|SEVENTH AVENUE|
201400000000000000.00|L|1|2046|7|N|E|N|N|CR|301|WEST 150TH STREET|
201400000000000000.00|L|1|2036|61|N|E|N|N|CR|2844|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2036|61|N|E|N|N|CR|33-39|MACOMBS PLACE|
201400000000000000.00|L|1|2045|96|N|E|N|N|AP|2815|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2045|96|N|E|N|N|AP|2817|FREDERICK DOUGLASS BLVD|
201400000000000000.00|L|1|2045|97|N|E|N|N|AP|302|WEST 150TH STREET|
201400000000000000.00|L|1|2045|98|N|E|N|N|VN|304-306|WEST 150TH STREET|
201400000000000000.00|L|1|2045|100|N|E|N|N|AP|308-310|WEST 150TH STREET|
201400000000000000.00|L|1|2032|43|N|E|N|N|AP|210|WEST 147 STREET|
201400000000000000.00|L|1|2046|63|N|E|N|N|CR|220|BRADHURST AVENUE|
201400000000000000.00|L|1|2031|18|N|E|N|N|CR|223|WEST 145 STREET|
201400000000086076.28|L|1|752|1|N|E|N|N|SP|365|WEST 28TH STREET|5F
201500000040000000.00|L|1|19|11|N|E|N|N|AP|67|GREENWICH STREET|
201500000040000000.00|L|1|19|13|N|E|N|N|CR|42|TRINITY PLACE|
201500000040000000.00|L|1|19|11|N|E|N|N|AP|67|GREENWICH STREET|
201500000040000000.00|L|1|19|13|N|E|N|N|CR|42|TRINITY PLACE|
201400000000088254.40|L|1|751|1|N|E|N|N|SP|290|9TH AVENUE|16A
201500000000000000.00|L|1|46|3|N|P|N|N|OF|100|BROADWAY|
201400000000000000.00|L|1|212|1003|N|E|N|N|SC|260|WEST BROADWAY|1/2C
201500000000000000.00|L|1|801|24|N|E|N|N|CR|119|WEST 25TH STREET|
201500000000550000.00|L|1|1556|16|N|E|N|N|SP|327|EAST 93RD STREET|2W
201500000000000000.00|L|1|708|65|N|E|N|N|CR|450|11TH|AVENUE
201500000000000000.00|L|1|708|65|N|E|N|N|CR|450|11TH|AVENUE
201500000000000000.00|L|1|708|65|N|E|N|N|CR|450|11TH|AVENUE
201500000000000000.00|L|1|708|65|N|E|N|N|CR|450|11TH|AVENUE
201500000000000000.00|L|1|708|65|N|E|N|N|CR|450|11TH|AVENUE
201400000000113469.94|L|1|751|1|N|E|N|N|SP|345|8TH AVENUE|16B
201400000000100862.17|L|1|751|1|N|E|N|N|SP|330|WEST 28TH STREET|17H
201500000000000000.00|L|1|25|1517|N|E|N|N|SC|15|WILLIAM STREET|21B
201400000000099617.53|L|1|751|1|N|E|N|N|SP|280|9TH AVENUE|13H
201300000000000000.00|L|1|694|30|N|E|N|N|AP|505|WEST 22ND STREET|
201300000000000000.00|L|1|694|31|N|E|N|N|AP|203|10TH|AVENUE
201300000000000000.00|L|1|694|32|N|E|N|N|AP|205|10TH|AVENUE
201300000000000000.00|L|1|694|33|N|E|N|N|CR|207|10TH|AVENUE
201400000000087709.87|L|1|751|1|N|E|N|N|SP|280|9TH AVENUE|14A
201500000000000000.00|L|1|894|2017|N|E|N|N|SC|325|LEXINGTON AVENUE|6C
201500000000000000.00|L|1|894|2104|N|E|N|N|SC|325|LEXINGTON AVENUE|26A
201400000000000000.00|L|1|1419|1071|N|E|N|N|SC|250|EAST 65 STREET|12E
201400000000000000.00|L|1|1419|1071|N|E|N|N|SC|250|EAST 65 STREET|12E
201500000002300000.00|L|1|1419|1071|N|E|N|N|SC|250|EAST 65 STREET|12E
201500000000000000.00|L|1|1419|1071|N|E|N|N|SC|250|EAST 65 STREET|12E
201500000001400000.00|L|1|1419|1071|N|E|N|N|SC|250|EAST 65 STREET|12E
201500000000381000.00|L|1|1439|1|N|E|N|N|SP|301|EAST 64TH STREET|8J
201500000000000000.00|L|1|868|51|N|E|N|N|AP|24|EAST 39TH STREET|
201500000000000000.00|L|1|868|51|N|E|N|N|AP|24|EAST 39TH STREET|
201500000011000000.00|L|1|868|51|N|E|N|N|AP|24|EAST 39TH STREET|
201500000011000000.00|L|1|868|51|N|E|N|N|AP|24|EAST 39TH STREET|
201500000000650100.00|L|1|519|44|N|E|N|N|CP|210|SIXTH AVENUE|1A
201300000000000000.00|L|1|499|1605|N|E|N|N|SC|111|MERCER STREET|PH
201300000000000000.00|L|1|499|1605|N|E|N|N|SC|111|MERCER STREET|PH
201300000000000000.00|L|1|499|1605|N|E|N|N|SC|111|MERCER STREET|PH
201500000000963500.00|L|1|1350|20|N|E|N|N|SP|345|E. 57TH STREET|12D
201500000001576000.00|L|1|1579|15|N|E|N|N|SP|525|E 82ND STREET|5F/G
201500000000490000.00|L|1|1627|1005|N|E|N|N|SC|158|EAST 100 STREET|3F
200800000000000000.00|L|1|1089|1101|N|E|N|N|BS|533|11TH|AVENUE
200800000000000000.00|L|1|1089|1102|N|E|N|N|BS|533|11TH|AVENUE
201500000000000000.00|L|1|1089|1101|N|E|N|N|BS|533|11TH|AVENUE
201500000000000000.00|L|1|1089|1102|N|E|N|N|BS|533|11TH|AVENUE
201500000011400000.00|L|1|695|2012|N|E|N|N|SC|508|WEST 24TH STREET|
201500000000000000.00|L|1|695|2012|N|E|N|N|SC|508|WEST 24TH STREET|
201500000001015000.00|L|1|1445|1002|N|E|N|N|SP|300|EAST 71ST STREET|16C
201500000000975000.00|L|1|136|1407|N|E|N|N|SC|85|WEST BROADWAY|11N
201500000000000000.00|L|1|136|1407|N|E|N|N|SC|85|WEST BROADWAY|11N
201500000002000000.00|L|1|1831|23|N|E|N|N|AP|207|WEST 115 STREET|
201500000000000000.00|L|1|1831|23|N|E|N|N|AP|207|WEST 115 STREET|
201500000000000000.00|L|1|1395|43|N|E|N|N|AP|164|EAST 61ST STREET|
201500000001356000.00|L|1|795|1125|N|E|N|N|SC|130|WEST 20TH STREET|
201500000001000000.00|L|1|795|1125|N|E|N|N|SC|130|WEST 20TH STREET|
201500000000000000.00|L|1|795|1125|N|E|N|N|SC|130|WEST 20TH STREET|
201500000000000000.00|L|1|16|2651|N|E|N|N|SC|380|RECTOR PLACE|7C
201500000000695000.00|L|1|16|2651|N|E|N|N|SC|380|RECTOR PLACE|7C
201500000000000000.00|L|1|16|2651|N|E|N|N|SC|380|RECTOR PLACE|7C
201400000000000000.00|L|1|1075|1034|N|E|N|N|SC|516|WEST 47TH STREET|
201400000000000000.00|L|1|1075|1034|N|E|N|N|SC|516|WEST 47TH STREET|
201500000000012509.93|L|1|1075|1034|N|E|N|N|SC|516|WEST 47TH STREET|
201500000000582000.00|L|1|1075|1034|N|E|N|N|SC|516|WEST 47TH STREET|
201500000000763687.50|L|1|171|1242|N|E|N|N|SC|101|LEONARD|8A
201500000000000000.00|L|1|171|1242|N|E|N|N|SC|101|LEONARD|8A
201500000000000000.00|L|1|171|1242|N|E|N|N|SC|101|LEONARD|8A
201400000000000000.00|L|1|695|1475|N|E|N|N|SC|555|WEST 23RD STREET|
201500000000930000.00|L|1|695|1475|N|E|N|N|SC|555|WEST 23RD STREET|
201500000000000000.00|L|1|695|1475|N|E|N|N|SC|555|WEST 23RD STREET|
201500000000500000.00|L|1|695|1475|N|E|N|N|SC|555|WEST 23RD STREET|
201500000000040000.00|L|1|695|1475|N|E|N|N|SC|555|WEST 23RD STREET|
201500000000000000.00|L|1|25|1634|N|E|N|N|SC|15|WILLIAM STREET|35G
201500000000000000.00|L|1|1165|1707|N|E|N|N|SC|2109|BROADWAY|13-10
201500000000000000.00|L|1|1165|1707|N|E|N|N|SC|2109|BROADWAY|13-10
201500000000000000.00|L|1|1165|1707|N|E|N|N|SC|2109|BROADWAY|13-10
201500000000004883.54|L|1|1165|1707|N|E|N|N|SC|2109|BROADWAY|13-10
201500000000663000.00|L|1|1165|1707|N|E|N|N|SC|2109|BROADWAY|13-10
201500000000000000.00|L|1|219|1001|N|E|N|N|PS|429|GREENWICH STREET|CELLA
201500000000600000.00|L|1|219|1001|N|E|N|N|PS|429|GREENWICH STREET|CELLA
201500000000000000.00|L|1|219|1001|N|E|N|N|PS|429|GREENWICH STREET|CELLA
201500000000550000.00|L|1|1125|2|N|E|N|N|SP|49|WEST 72ND STREET|10A
201500000000450000.00|L|1|1158|1310|N|E|N|N|SP|140|WEST END AVENUE|6D
201400000000000000.00|L|1|482|27|N|E|N|N|CR|218|LAFAYETTE STREET|
201500000002000000.00|L|1|482|27|N|E|N|N|CR|218|LAFAYETTE STREET|
201500000002000000.00|L|1|482|27|N|E|N|N|CR|218|LAFAYETTE STREET|
201400000000000000.00|L|1|482|27|N|E|N|N|CR|218|LAFAYETTE STREET|
201500000000262000.00|L|1|2180|326|N|E|N|N|SP|143|BENNETT AVENUE|2-O
201500000000410000.00|L|1|2179|500|N|E|N|N|SP|689|FT. WASHINGTON AVENUE|PH5
201500000000000000.00|L|1|1645|31|N|E|N|N|D4|181|EAST 117 STREET|
201500000000526484.04|L|1|1645|31|N|E|N|N|D4|181|EAST 117 STREET|
201500000001150000.00|L|1|1645|31|N|E|N|N|D4|181|EAST 117 STREET|
201500000001150000.00|L|1|1645|31|N|E|N|N|D4|181|EAST 117 STREET|
201500000000667000.00|L|1|1888|31|N|E|N|N|SP|310|WEST 99TH STREET|704
201500000000530000.00|L|1|162|1014|N|E|N|N|CC|7|CHATHAM SQUARE|303
201500000000530000.00|L|1|162|1015|N|E|N|N|CC|7|CHATHAM SQUARE|305
201500000000000000.00|L|1|162|1014|N|E|N|N|CC|7|CHATHAM SQUARE|303
201500000000000000.00|L|1|162|1015|N|E|N|N|CC|7|CHATHAM SQUARE|305
201500000002051773.75|L|1|1600|1274|N|E|N|N|SC|23|WEST 116TH STREET|11A
201400000000000000.00|L|1|1600|1274|N|E|N|N|SC|23|WEST 116TH STREET|11A
201400000001612000.00|L|1|1600|1274|N|E|N|N|SC|23|WEST 116TH STREET|11A
201500000000800000.00|L|1|1040|1382|N|E|N|N|SC|350|WEST 50TH STREET|22D
201500000000300000.00|L|1|1040|1382|N|E|N|N|SC|350|WEST 50TH STREET|
201500000000000000.00|L|1|1040|1382|N|E|N|N|SC|350|WEST 50TH STREET|
201500000002365000.00|L|1|1634|32|N|E|N|N|CR|167|EAST 106 STREET|
201500000001450000.00|L|1|1634|32|N|E|N|N|CR|167|EAST 106 STREET|
201500000000000000.00|L|1|5|10|N|E|N|N|OF|4|NEW YORK PLAZA|
201500000000000000.00|L|1|1263|65|N|E|N|N|F4|58|WEST 48TH STREET|
201500000000000000.00|L|1|1263|66|N|E|N|N|CR|60|WEST 48TH STREET|
201500000000000000.00|L|1|1263|166|N|E|N|N|CR|62|WEST 48TH STREET|
201500000004434129.03|L|1|1263|65|N|E|N|N|F4|58|WEST 48TH STREET|
201500000004434129.03|L|1|1263|66|N|E|N|N|CR|60|WEST 48TH STREET|
201500000004434129.03|L|1|1263|166|N|E|N|N|CR|62|WEST 48TH STREET|
201500000008500000.00|L|1|1263|65|N|E|N|N|F4|58|WEST 48TH STREET|
201500000008500000.00|L|1|1263|66|N|E|N|N|CR|60|WEST 48TH STREET|
201500000008500000.00|L|1|1263|166|N|E|N|N|CR|62|WEST 48TH STREET|
201500000008500000.00|L|1|1263|65|N|E|N|N|F4|58|WEST 48TH STREET|
201500000008500000.00|L|1|1263|66|N|E|N|N|CR|60|WEST 48TH STREET|
201500000008500000.00|L|1|1263|166|N|E|N|N|CR|62|WEST 48TH STREET|
201500000000000000.00|L|1|1263|65|N|E|N|N|F4|58|WEST 48TH STREET|
201500000000000000.00|L|1|1263|66|N|E|N|N|CR|60|WEST 48TH STREET|
201500000000000000.00|L|1|1263|166|N|E|N|N|CR|62|WEST 48TH STREET|
201500000000000000.00|L|1|24|1114|N|E|N|N|SC|40|BROAD STREET|25H
201500000000000000.00|L|1|24|1114|N|E|N|N|SC|40|BROAD STREET|25H
201500000001560000.00|L|1|24|1114|N|E|N|N|SC|40|BROAD STREET|25H
201500000001014000.00|L|1|24|1114|N|E|N|N|SC|40|BROAD STREET|25H
201500000001710660.00|L|1|1243|10|N|E|N|N|SP|251|WEST 95TH STREET|4W
201500000000000000.00|L|1|1550|7|N|E|N|N|SP|309|EAST 87TH STREET|3F
201500000000000000.00|L|1|1750|28|N|E|N|N|OT|69|EAST 125 STREET|
201500000000000000.00|L|1|1750|28|N|E|N|N|OT|69|EAST 125 STREET|
201500000000445315.00|L|1|2246|130|N|E|N|N|SP|1793|RIVERSIDE DRIVE|4B
201500000008146000.00|L|1|1383|1005|N|E|N|N|SC|11|EAST 68TH STREET|
201500000000000000.00|L|1|1383|1005|N|E|N|N|SC|11|EAST 68TH STREET|
201500000000000000.00|L|1|1120|1177|Y|E|Y|Y|SC|45|WEST 67th STREET|
201500000000000000.00|L|1|840|34|N|E|N|N|CR|13|WEST 38TH STREET|
201500000000000000.00|L|1|840|34|N|E|N|N|CR|13|WEST 38TH STREET|
201500000003350000.00|L|1|840|34|N|E|N|N|CR|13|WEST 38TH STREET|
201500000003350000.00|L|1|840|34|N|E|N|N|CR|13|WEST 38TH STREET|
201500000000000000.00|L|1|1599|1277|Y|E|Y|Y|SC|40|WEST 116 STREET|A613
201500000000420000.00|L|1|1330|4|N|E|N|N|SP|200|EAST 57TH STREET|14J
201200000000240000.00|L|1|187|1209|N|E|N|N|D1|64|NORTH MOORE STREET|5W
201500000000000000.00|L|1|849|1428|N|E|N|N|MC|141|5 AVENUE|34
201500000000009139.47|L|1|849|1428|N|E|N|N|MC|141|5 AVENUE|34
201500000000828668.00|L|1|849|1428|N|E|N|N|MC|141|5 AVENUE|34
201500000000000000.00|L|1|1417|1001|N|E|N|N|SC|230|EAST 63RD STREET|
201500000000000000.00|L|1|1010|1446|N|E|N|N|D1|100|WEST 58th STREET|
201500000000000000.00|L|1|1532|1021|N|E|N|N|SC|225|EAST 86TH STREET|
201100000000490000.00|L|1|491|1400|N|E|N|N|CC|246|SPRING STREET|2608
201100000000490000.00|L|1|491|1400|N|E|N|N|CC|246|SPRING STREET|2608
201500000000000000.00|L|1|1351|1|N|E|N|N|SP|300|EAST 59TH STREET|607
201500000000000000.00|L|1|1351|1|N|E|N|N|SP|300|EAST 59TH STREET|607
201500000000000000.00|L|1|790|1|N|E|N|N|SP|77|SEVENTH AVENUE|20H
201500000000100000.00|L|1|1513|1072|N|E|N|N|SC|171|EAST 84TH STREET|
201500000000000000.00|L|1|1020|1112|Y|E|Y|Y|SC|1600|BROADWAY|6B
201500000000054150.00|L|1|1837|1008|N|E|N|N|SC|418|CENTRAL PARK WEST|20
201500000000050000.00|L|1|936|2080|N|E|N|N|D1|343|EAST 30th STREET|
201500000001086140.08|L|1|482|1139|N|E|N|N|SC|210|LAFAYETTE STREET|8B/C
201500000000000000.00|L|1|2012|29|N|E|N|N|AP|665|LENOX AVENUE|
201500000000000000.00|L|1|2012|29|N|E|N|N|AP|665|LENOX AVENUE|
201500000000006971.55|L|1|1846|1234|N|E|N|N|SC|301|WEST 110TH STREET|18C
201500000000333700.00|L|1|1846|1234|N|E|N|N|SC|301|WEST 110TH STREET|18C
201500000006750000.00|L|1|1508|1014|N|E|N|N|SC|127|EAST 79TH STREET|
201400000000000000.00|L|1|1234|19|N|E|N|N|CR|2360|BROADWAY|
201400000000000000.00|L|1|1234|1201|N|E|N|N|CC|2360|BROADWAY|RETL
201400000000000000.00|L|1|1234|1202|N|E|N|N|SC|2360|BROADWAY|RES
201500000000000000.00|L|1|1234|19|N|E|N|N|CR|2360|BROADWAY|
201500000000000000.00|L|1|1234|1201|N|E|N|N|CC|2360|BROADWAY|RETL
201500000000000000.00|L|1|1234|1202|N|E|N|N|SC|2360|BROADWAY|RES
201500000000370110.00|L|1|629|1207|N|E|N|N|SC|345|WEST 13TH STREET|
201400000000000000.00|L|1|629|1207|N|E|N|N|SC|345|WEST 13TH STREET|
201500000000011864.01|L|1|629|1207|N|E|N|N|SC|345|WEST 13TH STREET|
201500000001550000.00|L|1|629|1207|N|E|N|N|SC|345|WEST 13TH STREET|
201400000000000000.00|L|1|2220|11|N|E|N|N|AP|109|SHERMAN AVENUE|
201400000000000000.00|L|1|2220|13|N|E|N|N|AP|113|SHERMAN AVENUE|
201400000000000000.00|L|1|2220|15|N|E|N|N|AP|117|SHERMAN AVENUE|
201400000000000000.00|L|1|2220|17|N|E|N|N|AP|121|SHERMAN AVENUE|
